75712118-bc69-414d-9fb0-b7e78d5a87af,9eda26d6-02a6-4caa-ab49-50b3deeb2672,7000.0,,,2024-01-01,2024-12-30
75712118-bc69-414d-9fb0-b7e78d5a87af,3d2e4ae0-2457-40a6-b9d7-d063997ac7a8,7200.0,,,2024-01-01,2024-12-30
75712118-bc69-414d-9fb0-b7e78d5a87af,974402ee-c858-47e7-b3ee-936a94392d7b,4000.0,,,2024-01-01,2024-12-30
75712118-bc69-414d-9fb0-b7e78d5a87af,a63272f4-81d5-4e10-8c0c-1f67ab0ab191,5500.0,,,2024-01-01,2024-12-30
75712118-bc69-414d-9fb0-b7e78d5a87af,a32a476e-9a05-493e-adb9-973c9eaad791,5000.0,,,2024-01-01,2024-12-30
75712118-bc69-414d-9fb0-b7e78d5a87af,,,večera,800.0,2024-01-01,2024-12-30
75712118-bc69-414d-9fb0-b7e78d5a87af,,,ručak,1200.0,2024-01-01,2024-12-30
75712118-bc69-414d-9fb0-b7e78d5a87af,,,spa centar,2000.0,2024-01-01,2024-12-30
75712118-bc69-414d-9fb0-b7e78d5a87af,,,bazen,500.0,2024-01-01,2024-12-30
75712118-bc69-414d-9fb0-b7e78d5a87af,,,doručak,1000.0,2024-01-01,2024-12-30
